"region","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"North East and Yorkshire",235.39,226.38,217.27,207.42,200.73,198.58,185.79,176.5,167.85,160.83
"North West",273.13,267.13,258.6,249.9,241.51,239.04,223.76,210.92,200.19,187.05
"Midlands",212.29,204.75,196.7,190.92,187.39,185.99,173.18,164.96,159.35,152.76
"East of England",240.43,230.28,222.49,216.47,211.14,210.02,197.35,188.28,180.26,174.6
"London",187.49,180.18,173.06,168.84,169.33,170.65,165.81,163.99,162.71,164.03
"South East",234.46,229.06,223.2,221.63,217.65,217.63,204.92,195.5,187.26,181.25
"South West",248.09,240.64,234.33,223.91,218.57,220.8,204.76,197.48,190.85,185.7
"Unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
